반감기,연도,블록높이,채굴보상(btc),채굴보상(sats),총발행량,총발행량(%),비채굴량,비채굴량(4년),일일공급량
0,2008,0,50,5000000000,0,,"21,000,000 ","10,500,000 ",7200
1,2012,"210,000",25,2500000000,"10,500,000 ",50.00000000%,"10,500,000 ","5,250,000 ",3600
2,2016,"420,000",12.5,1250000000,"15,750,000 ",75.00000000%,"5,250,000 ","2,625,000 ",1800
3,2020,"630,000",6.25,625000000,"18,375,000 ",87.50000000%,"2,625,000 ","1,312,500 ",900
4,2024,"840,000",3.125,312500000,"19,687,500 ",93.75000000%,"1,312,500 ","656,250 ",450
5,2028,"1,050,000",1.5625,156250000,"20,343,750 ",96.87500000%,"656,250 ","328,125 ",225
6,2032,"1,260,000",0.78125,78125000,"20,671,875 ",98.43750000%,"328,125 ","164,063 ",112.5
7,2036,"1,470,000",0.390625,39062500,"20,835,938 ",99.21875000%,"164,063 ","82,031 ",56.25
8,2040,"1,680,000",0.19531250,19531250,"20,917,969 ",99.60937500%,"82,031 ","41,016 ",28.125
9,2044,"1,890,000",0.09765625,9765625,"20,958,984 ",99.80468750%,"41,016 ","20,508 ",14.0625
10,2048,"2,100,000",0.04882813,4882813,"20,979,492 ",99.90234375%,"20,508 ","10,254 ",7.03125
11,2052,"2,310,000",0.02441406,2441406,"20,989,746 ",99.95117188%,"10,254 ","5,127 ",3.515625
12,2056,"2,520,000",0.01220703,1220703,"20,994,873 ",99.97558594%,"5,127 ","2,563 ",1.7578125
13,2060,"2,730,000",0.00610352,610352,"20,997,437 ",99.98779297%,"2,563 ","1,282 ",0.87890625
14,2064,"2,940,000",0.00305176,305176,"20,998,718 ",99.99389648%,"1,282 ",641 ,0.439453125
15,2068,"3,150,000",0.00152588,152588,"20,999,359 ",99.99694824%,641 ,320 ,0.2197265625
16,2072,"3,360,000",0.00076294,76294,"20,999,680 ",99.99847412%,320 ,160 ,0.1098632813
17,2076,"3,570,000",0.00038147,38147,"20,999,840 ",99.99923706%,160 ,80 ,0.05493164063
18,2080,"3,780,000",0.00019073,19073,"20,999,920 ",99.99961853%,80 ,40 ,0.02746582031
19,2084,"3,990,000",0.00009537,9537,"20,999,960 ",99.99980927%,40 ,20 ,0.01373291016
20,2088,"4,200,000",0.00004768,4768,"20,999,980 ",99.99990463%,20 ,10 ,0.006866455078
21,2092,"4,410,000",0.00002384,2384,"20,999,990 ",99.99995232%,10 ,5 ,0.003433227539
22,2096,"4,620,000",0.00001192,1192,"20,999,995 ",99.99997616%,5 ,3 ,0.00171661377
23,2100,"4,830,000",0.00000596,596,"20,999,997 ",99.99998808%,3 ,1 ,0.0008583068848
24,2104,"5,040,000",0.00000298,298,"20,999,999 ",99.99999404%,1.25169754 ,0.6258487701,0.0004291534424
25,2108,"5,250,000",0.00000149,149,"20,999,999 ",99.99999702%,0.62584877 ,0.3129243851,0.0002145767212
26,2112,"5,460,000",0.00000075,74.51,"20,999,999.69 ",99.99999851%,0.31292439 ,0.1564621925,0.0001072883606
27,2116,"5,670,000",0.00000037,37.25,"20,999,999.84 ",99.99999925%,0.15646219 ,0.07823109627,0.0000536441803
28,2120,"5,880,000",0.00000019,18.63,"20,999,999.92 ",99.99999963%,0.07823110 ,0.03911554813,0.00002682209015
29,2124,"6,090,000",0.00000009,9.31,"20,999,999.96 ",99.99999981%,0.03911555 ,0.01955777407,0.00001341104507
30,2128,"6,300,000",0.00000005,4.66,"20,999,999.98 ",99.99999991%,0.01955777 ,0.009778887033,0.000006705522537
31,2132,"6,510,000",0.00000002,2.33,"20,999,999.99 ",99.99999995%,0.00977889 ,0.004889443517,0.000003352761269
32,2136,"6,720,000",0.00000001,1.16,"21,000,000.00 ",99.99999998%,0.00488944 ,0.002444721758,0.000001676380634
33,2140,"6,930,000",0.00000001,0.58,"21,000,000.00 ",99.99999999%,0.00244472 ,0.001222360879,0.0000008381903172
